English Sentence (SVO),SOV for ISL
The tall Dogs leads the cats cautiously at school on New Year's Eve.,The tall Dogs cats cautiously at school on New Year's Eve leads.
The shy The teacher designs the technology angrily in the park during the holidays.,The shy The teacher technology angrily in the park during the holidays designs.
The young The farmer sings the cats calmly on the stage during the holidays.,The young The farmer cats calmly on the stage during the holidays sings.
The lazy She eats the books quietly in the garden on New Year's Eve.,The lazy She books quietly in the garden on New Year's Eve eats.
The busy She chases the pizza loudly in the kitchen this afternoon.,The busy She pizza loudly in the kitchen this afternoon chases.
The tall The engineer discovers the dinner silently by the lake last night.,The tall The engineer dinner silently by the lake last night discovers.
The energetic The driver builds the garden happily on the stage on Monday.,The energetic The driver garden happily on the stage on Monday builds.
The angry He solves the research sadly in the city last week.,The angry He research sadly in the city last week solves.
The silly We drives the robot carefully at the museum last week.,The silly We robot carefully at the museum last week drives.
The smart She studys the poem gently on the beach a few minutes ago.,The smart She poem gently on the beach a few minutes ago studys.
The lazy Everyone leads the television easily on the road at night.,The lazy Everyone television easily on the road at night leads.
